Part #,Description,Product Group,Net Weight
MOLDBOOKMJOY,"""CONFECTIONERY ART CASTING SILICONE MOLD MAKING"", MICHAEL JOY",MISCELLANEOUS ACCESSORIES RAM,3
67560A,"""KICK-IT"" ACCELERATOR 1-GAL (8# 3.63KGS)",FLEXIBLE URETHANES,8
67570A,"""KICK-IT"" ACCELERATOR 5-GAL (40# 18.14KGS)",FLEXIBLE URETHANES,40
67580A,"""KICK-IT"" ACCELERATOR 55-GAL(450# 204.12KGS)",FLEXIBLE URETHANES,450
67540A,"""KICK-IT"" ACCELERATOR PINT (1# 0.45KGS)",FLEXIBLE URETHANES,1
99785,"""O"" RING GASKET FOR SMALL VACUUM CHAMBER",MISCELLANEOUS,0
99872,"""SMOOTH-ON"" 2 GAL VACUUM CHAMBER",MISCELLANEOUS,4.85
99873,"""SMOOTH-ON"" 5-GAL VACUUM CHAMBER (20#)",MISCELLANEOUS,21.8
102146,"""SMOOTH-ON"" 5-GALLON PRESSURE POT BLUE",MISCELLANEOUS,44
BALL1001,#1 WHITE (#1 WHITE PIGMENT/DB),FORTON CONCRETE AND GYPSUM LATEX,0
AR-11BND-PRL,#11 BONDING LATEX PER LB,AR-PRODUCTS PARTS,1
AR-11BND-QT,#11 BONDING LATEX QUART,AR-PRODUCTS PARTS,2
SH-184CST,#184 CARBON STEEL TOOL - SCULPTURE HOUSE,MISCELLANEOUS ACCESSORIES RAM,0
SH-186CST,#186 CARBON STEEL TOOL - SCULPTURE HOUSE,MISCELLANEOUS ACCESSORIES RAM,0
AR-240-PRLB,#240 LATEX MOLDING COMPOUND - PER LB,AR-PRODUCTS PARTS,1
AR-240-5GL,#240 LATEX MOLDING COMPOUND 5 GALLON,AR-PRODUCTS PARTS,40
AR-240-DRM,#240 LATEX MOLDING COMPOUND DRUM - 50 GAL,AR-PRODUCTS PARTS,400
AR-240-GL,#240 LATEX MOLDING COMPOUND GALLON,AR-PRODUCTS PARTS,8
AR-240-QT,#240 LATEX MOLDING COMPOUND QUART,AR-PRODUCTS PARTS,2
AR-269-GL,#269 FLEXIBLE CASTING COMPOUND GALLON,AR-PRODUCTS PARTS,8.5
AR-269-PRLB,#269 FLEXIBLE CASTING COMPOUND PER LB,AR-PRODUCTS PARTS,1
AR-269-QT,#269 FLEXIBLE CASTING COMPOUND QUART,AR-PRODUCTS PARTS,2
AR-280W-DRM,#280W GENERAL PURPOSE WHITE LATEX- DRUM,AR-PRODUCTS PARTS,450
AR-305-5GL,#305 DIPPING & SPRAYING COMPOUND - 5 GALLON,AR-PRODUCTS PARTS,40
AR-305-GL,#305 DIPPING & SPRAYING COMPOUND - GALLON,AR-PRODUCTS PARTS,8
AR-305-PRLB,#305 DIPPING & SPRAYING COMPOUND - PER LB,AR-PRODUCTS PARTS,1
AR-305-QT,#305 DIPPING & SPRAYING COMPOUND - QUART,AR-PRODUCTS PARTS,2
AR-305-DRM,#305 DIPPING & SPRAYING COMPOUND DRUM - 50 GAL,AR-PRODUCTS PARTS,400
